prices,latitudes,longitudes,metro_stations,areas,floors,min_books
215000,55.556721788413476,37.51081236705443,"[['ѕотапово', '11Ц15'], ['”лица √орчаковаот', '31'], ['Ѕунинска€ алле€от', '31']]",95.7,1,11 мес.
250000,55.733609,37.591692,"[['ѕарк культурыдо', '5'], ['‘рунзенска€', '11Ц15'], ['ќкт€брьска€', '16Ц20']]",52,1,11 мес.
330000,55.723876,37.777149,"[['ќкска€', '6Ц10'], ['ѕлющево', '11Ц15'], ['¬ешн€ки', '16Ц20']]",100,1,11 мес.
210000,55.789492,37.655787,"[[' расносельска€', '16Ц20'], ['–ижска€', '21Ц30'], ['ћитьково', '21Ц30']]",84,1,11 мес.
108800,55.745199,37.664743,"[['ћарксистска€', '6Ц10'], ['“аганска€', '11Ц15'], ['ѕлощадь »льича', '11Ц15']]",59.3,4,11 мес.
77140,55.917036,37.562263,"[['‘изтех', '21Ц30'], ['ћаркот', '31'], ['Ќоводачна€от', '31']]",53.2,2,11 мес.
10000,55.8584324765869,37.5770033380439,"[['ƒегунино', '11Ц15'], ['¬ерхние Ћихоборы', '21Ц30'], ['ќкружна€', '21Ц30']]",68,2,1 мес.
270000,55.643988,37.543192,"[['Ѕел€ево', '11Ц15'], [' алужска€', '16Ц20'], ['¬оронцовска€', '21Ц30']]",68.4,1,11 мес.
100000,55.712183,37.683778,"[['ƒубровка', '6Ц10'], [' ожуховска€', '6Ц10'], ['”грешска€', '11Ц15']]",99,2,11 мес.
171500,55.823707,37.500423,"[['Ѕалтийска€', '6Ц10'], ['¬ойковска€', '6Ц10'], ['—трешнево', '16Ц20']]",73.4,1,1 мес.
105666,55.662882,37.48561,"[['ёго-«ападна€до', '5'], ['“ропарЄво', '21Ц30'], ['ѕроспект ¬ернадского', '21Ц30']]",63.4,2,11 мес.
290000,55.74819946,37.79834747,"[['ѕерово', '11Ц15'], [' усково', '16Ц20'], ['Ќовогиреево', '16Ц20']]",83,1,11 мес.
110000,55.650267,37.635332,"[[' аширска€', '21Ц30'], ['¬аршавска€от', '31'], [' антемировска€от', '31']]",50.5,1,11 мес.
235000,55.728439,37.765103,"[['„ухлинка', '6Ц10'], ['ѕлющево', '6Ц10'], ['—тахановска€', '11Ц15']]",50,1,11 мес.
175000,55.544427487734154,37.47787088095091,"[['ѕотапово', '21Ц30'], ['Ќовомосковска€от', '31'], ['Ѕунинска€ алле€от', '31']]",76.1,1,11 мес.
220000,55.73974609,37.670681,"[['ћарксистска€', '11Ц15'], ['ѕлощадь »льича', '11Ц15'], [' ресть€нска€ застава', '11Ц15']]",70,1,11 мес.
15000,55.57736873733601,37.630217428913426,"[['Ѕитцаот', '31'], [' расный —троительот', '31'], ['јнниноот', '31']]",100,1,1 мес.
160000,55.73974609,37.670681,"[['ћарксистска€', '11Ц15'], ['ѕлощадь »льича', '11Ц15'], [' ресть€нска€ застава', '11Ц15']]",50,1,11 мес.
78000,55.756376,37.750227,"[['Ўоссе Ёнтузиастовдо', '5'], ['—околина€ гора', '21Ц30'], ['јвиамоторна€', '21Ц30']]",54.7,2,11 мес.
176000,55.694434,37.614132,"[['¬ерхние котлы', '6Ц10'], [' рымска€', '11Ц15'], ['Ќагатинска€', '16Ц20']]",88,1,11 мес.
