wage,age,gender,metro,experience
40000,33,Женщина,,157
30000,29,Женщина,Братиславская,127
30000,30,Мужчина,Парк Победы,150
,57,Женщина,Отрадное,276
40000,29,Женщина,Новогиреево,113
50000,41,Женщина,Царицыно,191
60000,32,Мужчина,,156
30000,29,Женщина,Бульвар Дмитрия Донского,126
27000,29,Женщина,Новогиреево,139
30000,38,Женщина,Первомайская,162
70000,28,Женщина,,108
30000,31,Мужчина,Парк Победы,148
45000,27,Женщина,Римская,103
15000,31,Женщина,Бабушкинская,128
25000,28,Женщина,Чертановская,133
20000,36,Женщина,,198
25000,50,Женщина,Преображенская площадь,192
,33,Женщина,,132
35000,35,Женщина,Таганская,192
30000,28,Женщина,Бульвар Дмитрия Донского,129
,31,Женщина,,127
35000,32,Женщина,Речной вокзал,143
40000,36,Женщина,Алексеевская,144
,31,Женщина,Братиславская,91
20000,34,Женщина,,201
35000,,Женщина,,137
35000,32,Женщина,Бибирево,151
18000,35,Женщина,Савёловская,206
25000,28,Женщина,,108
50000,35,Женщина,Домодедовская,139
60000,30,Женщина,,93
50000,25,Женщина,Петровско-Разумовская,73
70000,32,Женщина,,59
,40,Женщина,Фрунзенская,183
50000,31,Женщина,Алтуфьево,86
,37,Женщина,Павелецкая,10
30000,34,Женщина,Сходненская,146
35000,,Женщина,Бибирево,150
,39,Женщина,Нагатинская,199
45000,45,Женщина,Коптево,213
40000,33,Мужчина,,132
30000,40,Женщина,Тимирязевская,222
,31,Женщина,,2
40000,28,Женщина,,5
35000,31,Женщина,,15
80000,29,Женщина,,89
30000,39,Мужчина,Митино,213
35000,29,Женщина,Домодедовская,16
50000,26,Женщина,,46
,29,Мужчина,Перово,33
35000,47,Женщина,Марьино,316
50000,33,Женщина,,136
30000,50,Женщина,Южная,49
50000,34,Женщина,Сходненская,109
,29,Женщина,Славянский бульвар,85
18000,41,Женщина,,29
30000,32,Женщина,,8
20000,34,Женщина,Кузьминки,4
50000,,Женщина,Славянский бульвар,16
35000,35,Женщина,Первомайская,218
25000,28,Женщина,Войковская,5
40000,31,Мужчина,Алтуфьево,51
30000,45,Женщина,Кузьминки,135
,27,Женщина,,3
,31,Женщина,Авиамоторная,160
,35,Женщина,Строгино,44
35000,31,Женщина,Новогиреево,13
35000,26,Женщина,,23
,33,Женщина,Бульвар Рокоссовского,128
30000,36,Женщина,Домодедовская,194
60000,29,Женщина,Преображенская площадь,128
125000,30,Женщина,Бабушкинская,94
50000,57,Женщина,Семеновская,322
22000,37,Женщина,Щелковская,31
50000,41,Женщина,Петровско-Разумовская,141
30000,28,Женщина,Строгино,13
25000,35,Женщина,,42
20000,31,Мужчина,Теплый Стан,5
40000,56,Женщина,Теплый Стан,303
40000,62,Женщина,Волжская,294
,27,Женщина,Пражская,49
75000,41,Женщина,Кантемировская,154
,45,Женщина,Юго-Западная,35
20000,31,Женщина,,4
,27,Женщина,,114
18000,47,Женщина,Новогиреево,
35000,41,Женщина,Кузьминки,242
55000,46,Женщина,Новомосковская (Коммунарка),219
,22,Женщина,,6
55000,34,Женщина,Улица 1905 года,152
30000,39,Женщина,Строгино,18
40000,40,Женщина,Планерная,92
28000,36,Женщина,,29
30000,37,Женщина,Водный стадион,183
30000,26,Женщина,,2
45000,28,Женщина,Пражская,3
30000,38,Женщина,,172
35000,26,Женщина,Братиславская,35
30000,30,Женщина,Молодежная,121
25000,30,Женщина,Строгино,5
25000,34,Женщина,Академическая,149
,30,Женщина,,121
,35,Мужчина,Петровско-Разумовская,155
40000,31,Женщина,,10
25000,38,Женщина,Водный стадион,29
40000,30,Мужчина,Щукинская,6
,30,Женщина,Шипиловская,8
,33,Женщина,Щелковская,51
,30,Женщина,Крылатское,12
30000,30,Женщина,,178
20000,36,Женщина,Петровско-Разумовская,5
27000,30,Женщина,,41
30000,32,Женщина,Молодежная,121
50000,26,Мужчина,,108
20000,38,Женщина,Марьино,21
35000,26,Женщина,,3
25000,40,Женщина,,14
2000,30,Мужчина,,73
50000,34,Женщина,Курская,226
25000,39,Женщина,Теплый Стан,202
20000,29,Женщина,,16
25000,30,Женщина,Октябрьская,125
50000,27,Женщина,Коньково,136
40000,34,Женщина,Новогиреево,197
65000,32,Женщина,,19
,29,Женщина,Бибирево,107
30000,38,Женщина,Орехово,53
40000,,Женщина,Кожуховская,22
30000,28,Женщина,,91
25000,28,Женщина,Войковская,4
30000,32,Женщина,,121
35000,27,Женщина,Бульвар Адмирала Ушакова,115
40,33,Женщина,,99
25000,47,Женщина,Аннино,10
30000,32,Женщина,Щелковская,186
30000,30,Женщина,Марьино,26
,44,Женщина,Щелковская,200
35000,32,Женщина,Текстильщики,30
40000,41,Женщина,Тимирязевская,227
45000,31,Женщина,Комсомольская,127
30000,45,Пол не указан,Достоевская,269
,34,Женщина,Киевская,
50000,28,Женщина,,29
65000,30,Женщина,Новогиреево,115
30000,33,Женщина,Бабушкинская,156
35000,32,Женщина,Красногвардейская,22
25000,33,Женщина,Люблино,15
30000,51,Женщина,Бабушкинская,150
50000,33,Женщина,Автозаводская,58
30000,34,Женщина,Дубровка,198
30000,31,Женщина,Выхино,10
25000,37,Женщина,ВДНХ,
40000,32,Женщина,Борисово,13
30000,37,Женщина,Славянский бульвар,43
35000,31,Мужчина,Тульская,
50000,60,Женщина,,353
50000,35,Женщина,,147
30000,47,Женщина,,114
40000,58,Женщина,Университет,188
25000,35,Мужчина,,211
27000,45,Женщина,Выхино,275
35000,34,Женщина,Новогиреево,43
